name,price
체크트임치마바지,18700
파스텔스니커즈,28900
추리기모맨투맨,12900
솔티드스니커즈,23800
메모리기모맨투맨,12900
마레기모밴딩팬츠,21900
어텀메리제인슈즈,28000
디깅클래식로퍼,29700
